gene_name	index
OR4F5	0
OR4F29	1
OR4F16	2
SAMD11	3
NOC2L	4
KLHL17	5
PLEKHN1	6
PERM1	7
HES4	8
ISG15	9
AGRN	10
RNF223	11
C1orf159	12
TTLL10	13
TNFRSF18	14
TNFRSF4	15
SDF4	16
B3GALT6	17
C1QTNF12	18
UBE2J2	19
SCNN1D	20
ACAP3	21
PUSL1	22
INTS11	23
CPTP	24
TAS1R3	25
DVL1	26
MXRA8	27
AURKAIP1	28
CCNL2	29
MRPL20	30
ANKRD65	31
TMEM88B	32
VWA1	33
ATAD3C	34
ATAD3B	35
ATAD3A	36
TMEM240	37
SSU72	38
FNDC10	39
MIB2	40
MMP23B	41
CDK11B	42
SLC35E2B	43
CDK11A	44
SLC35E2A	45
NADK	46
GNB1	47
CALML6	48
TMEM52	49
CFAP74	50
GABRD	51
PRKCZ	52
FAAP20	53
SKI	54
MORN1	55
RER1	56
PEX10	57
PLCH2	58
PANK4	59
HES5	60
TNFRSF14	61
PRXL2B	62
MMEL1	63
TTC34	64
ACTRT2	65
PRDM16	66
ARHGEF16	67
MEGF6	68
TPRG1L	69
WRAP73	70
TP73	71
CCDC27	72
SMIM1	73
LRRC47	74
CEP104	75
DFFB	76
C1orf174	77
AJAP1	78
NPHP4	79
KCNAB2	80
CHD5	81
RPL22	82
RNF207	83
ICMT	84
HES3	85
GPR153	86
ACOT7	87
HES2	88
ESPN	89
TNFRSF25	90
PLEKHG5	91
NOL9	92
TAS1R1	93
ZBTB48	94
KLHL21	95
PHF13	96
THAP3	97
DNAJC11	98
CAMTA1	99
VAMP3	100
PER3	101
UTS2	102
TNFRSF9	103
PARK7	104
ERRFI1	105
SLC45A1	106
RERE	107
ENO1	108
CA6	109
SLC2A7	110
SLC2A5	111
GPR157	112
H6PD	113
SPSB1	114
SLC25A33	115
TMEM201	116
PIK3CD	117
CLSTN1	118
CTNNBIP1	119
LZIC	120
NMNAT1	121
RBP7	122
UBE4B	123
KIF1B	124
PGD	125
CENPS	126
CORT	127
DFFA	128
PEX14	129
CASZ1	130
C1orf127	131
TARDBP	132
MASP2	133
SRM	134
EXOSC10	135
MTOR	136
ANGPTL7	137
UBIAD1	138
DISP3	139
FBXO2	140
FBXO44	141
FBXO6	142
MAD2L2	143
DRAXIN	144
AGTRAP	145
C1orf167	146
MTHFR	147
CLCN6	148
NPPA	149
NPPB	150
KIAA2013	151
PLOD1	152
MFN2	153
MIIP	154
TNFRSF8	155
TNFRSF1B	156
VPS13D	157
DHRS3	158
AADACL4	159
AADACL3	160
PRAMEF12	161
PRAMEF1	162
PRAMEF11	163
HNRNPCL1	164
PRAMEF2	165
PRAMEF4	166
PRAMEF10	167
PRAMEF7	168
PRAMEF6	169
PRAMEF27	170
HNRNPCL3	171
PRAMEF25	172
HNRNPCL2	173
PRAMEF26	174
HNRNPCL4	175
PRAMEF9	176
PRAMEF13	177
PRAMEF18	178
PRAMEF5	179
PRAMEF8	180
PRAMEF33	181
PRAMEF15	182
PRAMEF14	183
PRAMEF19	184
